T, P, Rho, Mu, Cp, K, h, s
505.2631578947369, 5.7631578947368425, 827.0513391373365, 0.00011584407020402088, 4672.480880875833, 0.6375161108693576, 18026933.97600464, 47267.35042726839
505.2631578947369, 5.842105263157895, 827.1271160810016, 0.00011586514512521419, 4671.753150748709, 0.6375933961262183, 18027201.77738361, 47264.477089018634
505.2631578947369, 5.921052631578947, 827.2028380349967, 0.00011588620970862297, 4671.026567231367, 0.6376706537252415, 18027470.41028391, 47261.605708158466
505.2631578947369, 6.0, 827.2785051019697, 0.00011590726397436246, 4670.301127180612, 0.6377478837113612, 18027739.873090476, 47258.736281208374
515.7894736842105, 4.5, 810.6935465118283, 0.00011004221454784131, 4779.562035567816, 0.6255826787389286, 18919820.94961701, 49070.71710672005
515.7894736842105, 4.578947368421052, 810.7784627951092, 0.00011006426674619567, 4778.64726554843, 0.6256658012640735, 18919918.510280732, 49067.50510184251
515.7894736842105, 4.657894736842105, 810.8633071907336, 0.00011008630592902979, 4777.734188123057, 0.6257488883136456, 18920017.1996119, 49064.29564124556
515.7894736842105, 4.7368421052631575, 810.9480798520189, 0.00011010833212475107, 4776.822797826616, 0.6258319399523675, 18920117.0151019, 49061.088719689906
515.7894736842105, 4.815789473684211, 811.0327809317905, 0.00011013034536167804, 4775.913089219501, 0.6259149562447983, 18920217.954250716, 49057.88433195377
515.7894736842105, 4.894736842105263, 811.1174105823857, 0.00011015234566804059, 4775.005056887411, 0.6259979372553337, 18920320.014566835, 49054.68247283269
515.7894736842105, 4.973684210526316, 811.201968955653, 0.00011017433307198126, 4774.098695441186, 0.6260808830481984, 18920423.193567205, 49051.483137139454
515.7894736842105, 5.052631578947368, 811.2864562029578, 0.00011019630760155477, 4773.193999516662, 0.6261637936874587, 18920527.488777198, 49048.286319704086
515.7894736842105, 5.131578947368421, 811.37087247518, 0.00011021826928472795, 4772.2909637745, 0.6262466692370091, 18920632.897730585, 49045.09201537367
515.7894736842105, 5.2105263157894735, 811.4552179227213, 0.000110240218149382, 4771.389582900034, 0.6263295097605887, 18920739.417969473, 49041.90021901232
515.7894736842105, 5.2894736842105265, 811.5394926955017, 0.00011026215422331037, 4770.489851603123, 0.6264123153217684, 18920847.04704431, 49038.71092550113
515.7894736842105, 5.368421052631579, 811.6236969429683, 0.00011028407753422159, 4769.59176461799, 0.6264950859839596, 18920955.782513764, 49035.524129738056
515.7894736842105, 5.447368421052632, 811.707830814091, 0.0001103059881097378, 4768.6953167030715, 0.626577821810408, 18921065.621944778, 49032.339826637806
515.7894736842105, 5.526315789473684, 811.7918944573697, 0.00011032788597739636, 4767.800502640869, 0.6266605228642024, 18921176.56291249, 49029.158011131854
515.7894736842105, 5.605263157894736, 811.8758880208313, 0.00011034977116464937, 4766.907317237803, 0.6267431892082689, 18921288.603000157, 49025.978678168285
